JC Organization ID,Medicare CCN
6288,210028
6275,210027
6262,210024
6241,210023
6267,210022
6290,210018
6289,210017
6302,210016
6247,210015
6243,210013
6260,210012
6258,210011
6252,210009
6255,210008
6280,210005
6300,210004
6264,210002
6283,210001
5106,204006
3013,204004
5448,200063
1555,200058
5435,200052
5432,200050
445037,200040
175620,200039
5433,200037
5438,200034
5417,200033
1916,200031
370691,200028
5437,200024
5038,200021
5422,200019
2406,200018
5446,200008
5418,200001
3010,194031
1966,194008
1511,194007
8767,193300
411165,190270
393491,190263
361015,190250
5013,190242
5279,190206
8738,190205
5259,190204
5276,190202
8815,190201
5167,190183
5155,190177
8780,190176
8745,190175
8810,190167
8748,190164
453587,190161
8757,190146
8758,190144
8778,190135
8701,190128
8761,190125
8699,190122
8805,190111
8791,190109
8782,190106
8740,190102
8753,190099
8796,190098
8806,190088
8794,190086
33618,190079
8698,190065
8700,190064
8743,190060
8765,190054
8733,190053
8715,190050
8779,190046
8710,190045
48483,190041
8804,190040
8754,190039
8777,190036
8690,190034
8744,190027
8691,190026
8749,190025
3925,190020
8692,190019
8785,190017
8726,190015
8762,190014
8807,190013
8759,190011
8730,190010
8788,190009
8729,190008
4008,190007
8737,190006
8766,190005
8808,190004
8763,190003
8739,190002
8704,190001
3009,184015
1439,184014
1359,184012
3425,184007
3008,184004
1787,184002
5203,180149
464753,180143
7767,180141
139696,180139
4852,180132
7766,180130
7762,180128
7743,180127
7728,180124
7783,180122
5053,180117
7778,180116
7784,180115
7798,180105
7788,180104
7756,180103
7787,180102
7744,180101
4694,180095
297374,180094
7776,180093
7801,180092
7770,180088
7731,180087
2853,180079
7789,180078
183333,180070
4670,180069
7760,180067
7795,180066
4699,180064
7726,180063
7751,180056
4304,180055
7739,180053
7752,180051
7747,180050
7737,180048
7790,180046
50493,180043
7765,180040
7786,180038
7725,180036
7735,180035
7777,180032
7750,180029
2293,180027
7727,180025
2294,180024
7781,180020
7779,180019
7782,180018
7745,180017
7797,180016
7729,180013
7738,180012
7761,180011
366798,180010
7724,180009
2850,180004
7799,180002
7742,180001
3004,174016
3186,174006
3006,174004
250035,170185
8348,170182
8589,170176
4851,170175
8566,170146
8540,170145
8570,170137
8572,170133
8612,170123
8609,170122
8563,170116
8592,170109
8591,170104
8605,170086
8564,170074
8575,170068
8551,170058
8587,170049
8567,170040
8553,170023
8544,170017
8604,170016
8590,170014
8562,170010
8573,170009
8595,170006
3000,164003
2999,164002
8301,160153
8257,160122
8251,160117
8306,160110
8245,160101
8292,160089
8248,160083
4934,160080
4282,160079
2405,160069
5285,160067
8278,160064
3740,160062
8266,160058
8291,160050
8236,160047
8227,160045
8226,160040
56709,160033
8218,160030
8265,160029
8237,160028
8281,160013
8269,160008
1357,154047
5050,154041
2996,154008
458899,150169
463691,150168
456602,150167
432637,150164
7219,150163
425256,150161
404006,150158
394834,150157
371189,150154
333492,150150
7181,150146
7230,150133
7140,150130
7179,150128
7205,150125
7235,150124
4709,150122
7180,150115
7133,150113
7229,150105
7187,150104
5099,150102
2216,150101
4073,150100
5077,150096
7170,150091
7200,150089
2894,150088
7178,150084
7209,150076
7138,150075
7172,150074
2904,150067
7217,150065
7231,150061
7220,150058
188549,150056
7216,150052
7137,150051
7141,150050
7135,150049
7159,150047
7224,150046
7160,150043
7228,150042
7193,150038
7227,150035
7162,150034
7210,150031
7163,150026
7173,150024
7158,150021
3820,150020
7157,150017
7221,150012
7183,150010
4719,150009
7151,150008
7182,150007
4707,150006
1395,144037
263831,144031
7256,144029
2991,144026
1502,144021
1628,144016
1594,144010
2992,144009
2986,144005
7284,143301
7269,143300
309785,140294
5192,140292
5173,140290
7380,140289
7325,140286
7267,140281
7421,140280
7288,140276
7331,140275
7340,140258
4656,140252
7444,140242
7418,140239
7419,140233
7394,140231
7420,140228
4744,140220
7338,140217
7365,140213
5291,140211
7353,140210
7408,140209
7397,140208
7296,140206
382957,140203
7372,140202
7341,140200
7374,140199
7257,140189
7242,140187
7378,140184
4068,140182
7344,140179
7283,140177
7447,140176
7240,140174
4287,140170
2825,140168
4480,140167
4605,140166
7252,140164
7248,140162
7412,140161
7367,140155
7282,140150
7431,140148
7250,140145
4672,140144
4632,140135
3918,140130
7390,140129
7351,140125
7359,140122
7407,140120
7297,140119
7249,140118
7375,140116
4968,140113
7402,140110
7448,140100
7279,140095
4928,140093
7376,140089
7315,140088
7442,140084
7285,140083
7286,140082
7332,140077
7410,140067
7370,140065
7349,140064
7398,140063
7306,140062
4752,140061
7363,140059
7362,140058
7246,140054
7432,140053
7237,140052
7429,140051
7391,140046
7435,140043
7348,140040
7254,140034
7335,140032
7339,140030
7239,140029
7436,140026
7294,140018
7346,140016
4738,140015
7409,140013
7357,140011
7343,140010
7400,140008
7364,140007
7373,140004
4286,140002
4661,140001
203104,134010
9316,130049
2208,130028
2824,130026
9320,130018
9315,130014
9327,130013
9323,130011
9313,130007
9314,130006
9322,130003
9336,130002
10241,124000
10232,123300
180066,120028
10224,120026
10237,120022
10226,120019
3806,120014
2840,120011
10234,120007
10240,120006
4468,120005
4193,120004
10230,120002
10235,120001
250089,114032
1746,114029
2984,114028
63849,114021
1531,114019
2982,114015
1754,114013
3157,114012
2021,114010
2983,114008
6716,110229
414375,110226
50515,110225
340062,110219
165168,110215
2218,110205
5086,110203
6708,110201
5273,110200
5248,110198
6681,110194
4811,110192
6729,110191
5164,110189
6678,110187
4854,110186
6684,110184
6727,110183
6658,110177
6721,110168
6719,110165
6706,110164
6649,110161
6717,110153
6712,110150
77953,110146
6660,110143
6672,110142
666,110136
192920,110130
6673,110129
6740,110128
6685,110125
6704,110124
6738,110122
6663,110121
4680,110115
6747,110113
2161,110112
6707,110107
6714,110105
6675,110104
6633,110101
6751,110100
82160,110098
137523,110096
6735,110095
6750,110091
6682,110089
6705,110087
6723,110086
4277,110083
6652,110082
3506,110079
6642,110078
3735,110076
6728,110075
6637,110074
6744,110069
2070,110064
35728,110063
6720,110054
180336,110051
72371,110050
4195,110046
5240,110045
6725,110043
2760,110042
4278,110041
3640,110040
6657,110039
6733,110038
6724,110036
6711,110035
6656,110034
6737,110032
6697,110031
6669,110030
6659,110028
2383,110027
6688,110026
6662,110025
6726,110024
5178,110023
6676,110018
2451,110016
6741,110015
6668,110011
6689,110010
6667,110008
2842,110004
6746,110003
6679,110001
1605,104065
4978,104057
2976,104024
2969,104017
2043,104016
2970,104015
258585,104001
6857,103301
6908,103300
458133,100307
430019,100302
397202,100299
397312,100296
387207,100292
379413,100291
385115,100290
334451,100289
333951,100287
342255,100286
414430,100285
5091,100281
5297,100276
5294,100275
6882,100269
5289,100268
6950,100267
5258,100264
6897,100260
6954,100259
5215,100258
5202,100256
6928,100254
6951,100253
5172,100252
6779,100249
6838,100248
6797,100246
6885,100242
6911,100239
6913,100238
4839,100236
6945,100234
6881,100232
6892,100231
6883,100230
4832,100228
6874,100226
4834,100224
6798,100223
6919,100217
6763,100213
6872,100212
6783,100211
6846,100209
6802,100204
6792,100200
6955,100191
6844,100189
6953,100187
6952,100183
6923,100181
6916,100180
6824,100179
6775,100177
6884,100176
6753,100175
6936,100173
6760,100168
6895,100167
6917,100161
6815,100160
6834,100157
6831,100156
6924,100154
369946,100151
5151,100150
6841,100146
6845,100142
6789,100140
6806,100137
4223,100135
6896,100132
6803,100131
6758,100130
6934,100128
2776,100127
6812,100125
6864,100124
6777,100122
6757,100121
6826,100117
6804,100113
6830,100110
6755,100109
6837,100107
